ababa	a bab a
izinhlamvu	i zin hlamvu
izinhliziyo	i zin hliziyo
izinhlobonhlobo	i zin hlobonhlobo
izinhlupheko	i zin hluph ek o
izinja	i zin ja
izinkinobho	i zin kinobho
izinkomo	i zin komo
izinkophe	i zin kophe
izinkuni	i zin kuni
izinqola	i zin qola
izinqulu	i zin qulu
izinsiza	i zin siza
izinsizwa	i zin sizwa
izinsuku	i zin suku
izinsukwana	i zin sukw ana
izintambo	i zin tambo
izintelezi	i zin telezi
izinto	i zin to
izintombi	i zin tombi
izintuli	i zin tuli
izinwele	i zi nwele
izinyama	i zi nyama
izinyanga	i zi nyanga
izinyathi	i zi nyathi
izinyawo	i zi nyawo
izinyawowafika	i zi nyawo w a fik a
izinyombezi	i zi nyombezi
izinyosi	i zi nyosi
izinzipho	i zin zipho
iziphicaphicwano	i zi phica phic w an o
iziphukuphuku	i zi phuku phuku
izisebenzi	i zi sebenz i
izisele	i zi sele
izitembu	i zi tembu
iziteshana	i zi tesh ana
izitha	i zi tha
izithelo	i zi thel o
izithithibala	i zi thithibala
izithombe	i zi thombe
izithonto	i zi thont o
izithukuthuku	i zi thukuthuku
izithunzana	i zi thunz ana
izithunzi	i zi thunzi
izithupha	i zi thupha
izitsha	i zi tsha
izitshudeni	i zi tshuden i
iziwe	i z iw e
iziyalo	i zi yal o
izizathu	i zi zathu
izohlatshwa	i zo hlatsh w a
izokhuluma	i zo khulum a
izokofa	i zo kof a
izokuba	i zo ku b a
izokulimaza	i zo ku limaz a
izokuthi	i zo ku thi
izokwenekelwa	i zo kw enek el w a
izokwenzenjani	i zo kw enz e njani
izolo	i zolo
izombulala	i zo m bulal a
izomehlula	i zo m ehlul a
izomhlasela	i zo m hlas el a
izongenisa	i zo ngen is a
izophuma	i zo phum a
izoqaqeka	i zo qaq ek a
izoshonela	i zo shon el a
izothululwa	i zo thulul w a
izothuthwa	i zo thuth w a
izovela	i zo vel a
izovelaphi	i zo vel a phi
izulu	i zulu
izwe	i zwe
izwi	i zw i
ja	ja
jabu	jabu
ju	ju
juluka	juluk a
juz	juz
ka	ka
kababaningi	ka b a ba ningi
kababobuya	ka ba bo buy a
kabafuneki	ka ba fun ek i
kabagamgeli	ka ba gamg el i
kabahambe	ka ba hamb e
kabakwazi	ka ba kw azi
kabalethi	ka ba leth i
kabanandaba	ka ba na n daba
kabangeni	ka ba ngen i
kabangenii	ka ba ngeni i
kabani	ka bani
kabasafuni	ka ba sa fun i
kabasaphefumuli	ka ba sa phefumul i
kabathandi	ka ba thand i
kabayingeni	ka ba yi ngen i
kabazani	ka ba zani
kabazi	ka b azi
kabe	ka be
kabhanana	ka bhanana
kabhanoyi	ka bhanoyi
kabi	ka bi
kabili	ka bili
kabo	ka bo
kabonga	ka bonga
kabslethi	ka bs leth i
kabuhlungu	ka buhlungu
kacelemba	ka celemba
kachakide	ka chakide
kadambe	ka dambe
kade	ka de
kadelsie	ka delsie
kadikiza	ka dikiza
kadolly	ka dolly
kafaro	ka faro
kagomere	ka gomere
kagumede	ka gumede
kahle	ka hle
kajakobe	ka jakobe
kakadeni	kakadeni
kakhulu	ka khulu, kakhulu
kakudingi	ka ku ding i
kakukho	ka ku kho
kakukhohlakaleka	k a ku khohl akal ek a
kakulukhuni	k a ku lukhuni
kakulungile	ka ku lung ile
kakumfikisi	ka ku m fik is i
kakungenwa	ka ku ngen w a
kakusaziwa	ka ku s az iw a
kaliluphile	ka li lu ph ile
kalingcoli	ka li ngcol i
kalula	ka lula
kamandlakhe	ka ma ndla khe
kambe	kambe
kamfowabo	ka m fo wa bo
kamgci	ka m gci
kamhlophe	ka mhlophe
kamili	kamili
kamina	ka mi na
kamkhize	ka mkhize
kamnandi	ka mnandi
kamuva	ka muva
kanakwa	ka nak w a
kanatana	ka natana
kancane	ka ncane
kandwandwe	ka ndwandwe
kangaka	ka ngaka
kangakanani	ka ngaka na ni
kangaki	ka ngaki
kangako	ka ngako
kangangoba	ka ngangoba
kangazi	ka ng azi
kangcono	ka ngcono
kangikawakhohlwa	ka ngi ka wa khohlw a
kangilimile	ka ngi lim ile
kangisakwazi	ka ngi sa kw azi
kangisalikhumbuli	ka ngi sa li khumbul i
kangisenamali	ka ngi se na mali
kangisezukwanda	ka ngi se zu kw and a
kangixolise	ka ngi xol is e
kaningi	ka ningi
kanjalo	ka njalo
kanjani	ka njani
kanje	ka nje
kanjena	ka nje na
kankazana	ka nkaz ana
kankosi	ka n kosi
kanomhlanjana	ka n o m hlanj ana
kanti	kanti
kanukani	ka nukan i
kanye	ka nye
kanyekanye	ka nye ka nye
kanzima	ka nzima
kanzimande	ka nzima n de
kapedasuri	ka pedasuri
kapteni	kapteni
kasawoti	ka sawoti
kashakespeare	ka shakespeare
kasibuzi	ka si buz i
kasikho	ka si kho
kasikwazi	ka si kw azi
kasizwa	ka sizwa
katajewo	ka tajewo
kathathu	ka thathu
kathekwane	ka thekw ane, ka thekwane
katom	ka tom
kawakakhathazwa	ka wa ka khathaz w a
kawasoze	ka wa so ze
kawazi	ka w azi
kawufani	ka wu fan i
kawuguqukanga	ka wu guquk anga
kawunoni	ka wu non i
kayikho	ka yi kho
kayinasikhathi	ka yi na si khathi
kayipheli	ka yi phel i
kayisekho	ka yi se kho
kayithandwa	ka yi thand w a
kayiyazi	ka yi y azi
kayiyikholwa	ka yi yi khol w a
kayiyinhle	ka yi yin hle
kazethu	ka z ethu
kazidakiwe	ka zi dak iw e
kazihlapuni	ka zihlapuni
kaziphelele	ka zi phel el e
kazisakunakile	ka zi sa ku nak ile
kazizwakali	ka zi zw akal i
kazungu	ka zungu
ke	ke
kela	kel a
kelwe	kelwe
kengisho	ke ngi sho
kepha	kepha
kesiye	ke si y e
khehla	khehla
khehlehle	khehlehle
khetha	kheth a
khilithi	khilithi
khisha	khish a
khona	kho na
khulu	khulu
khulula	khulul a
khuluse	khuluse
khumbula	khumbul a
khusasa	khusas a
kimi	ki mi
kimina	ki mi na
kini	ki ni
kithi	ki thi
kithina	ki thi na
klwi	klwi
knott	knott
ko	ko
kobani	k o bani
kobuya	k o buy a
kobuye	k o buy e
kochitheka	k o chith ek a
kodlalwa	k o dlal w a
kodliwa	k o dl iw a
kodududu	kodududu
kodwa	kodwa
koju	k o ju
kokhona	k o kho na
kokhotheme	k o khothem e
kokuba	k o kuba
kokuchaza	k o ku chaz a
kokudingekile	k o ku ding ek ile
kokuduma	k o ku dum a
kokugingqika	k o ku gingqik a
kokuhlabeka	k o ku hlab ek a
kokukamike	k o kuka mike
kokungabaza	k o ku nga baz a
kokungqongqotha	k o ku ngqongqoth a
kokungqongqoza	k o ku ngqongqoz a
kokunye	k o ku nye
kokupheka	k o ku phek a
kokuphumula	k o ku phumul a
kokusebenza	k o ku sebenz a
kokusebenzisa	k o ku sebenz is a
kokusifaka	k o ku si fak a
kokuthi	k o kuthi
kokwanelisa	k o kw anel is a
kokwezwi	k o kw e zwi
kolimi	k o limi
komakati	k o makati
kombhede	k o m bhede
komkhunya	k o m khunya
komngane	k o m ngane
komnumzane	k o m numzane
komnyama	k o mnyama
komoya	k o moya
komphefumulo	k o m phefumul o
komuntu	k o mu ntu
komuzi	k o mu zi
konakele	k on akel e
konakeleni	k on akel e ni
konje	konje
konke	ko nke
konyaka	k o nyaka
kophahla	k o phahla
kosibhalela	k o si bhal el a
kosiko	k o siko
kothi	k o thi
kotom	k o tom
kovalo	k o valo
kovela	k o vel a
koziphosa	k o zi phos a
ku	ku
kuba	ku b a
kubahlungu	ku b a hlungu
kubangani	ku b a ngani
kubantu	ku ba ntu
kubazali	ku ba zal i
kube	ku b e
kubekhona	ku be kho na
kubengathi	ku be nga thi
kubenyezele	ku benyezel e
kubhabhalele	ku bhabhalel e
kubhalwe	ku bhal w e
kubhoke	ku bhok e
kubhulose	ku bhulose
kubi	ku bi
kubiza	ku biz a
kubizwa	ku biz w a
kubizwe	ku biz w e
kubo	ku bo
kubona	ku bon a
kubonakala	ku bon akal a
kubonana	ku bon an a
kubonelela	ku bonel el a
kubonga	ku bong a
kuboniswana	ku bon is w an a
kubuhlungu	ku buhlungu
kubuphi	ku bu phi
kubuswa	ku bus w a
kubuye	ku bu y e, ku buy e
kubuyelwe	ku buy el w e
kubuywe	ku buy w e
kubuzwa	ku buz w a
kucabanga	ku cabang a
kucace	ku cac e
kuchachaze	ku chachaz e
kuchaza	ku chaz a
kuchithimpi	ku chith i m pi
kucishe	ku cishe
kudala	ku dala
kudalwe	ku dal w e
kudambe	ku damb e
kude	ku de
kudela	ku del a
kudele	ku del e
kudida	ku did a
kudidizelwa	ku didiz el w a
kudingeke	ku ding ek e
kudla	ku dl a
kudle	ku dl e
kudliwa	ku dl iw a
kudllwa	ku dll w a
kudlula	ku dlul a
kudlule	ku dlul e
kudokotela	ku dokotela
kududana	ku dud an a
kuduma	ku dum a
kufakwe	ku fak w e
kufana	ku fan a
kufane	ku fan e
kufanele	ku fanel e
kufika	ku fik a
kufike	ku fik e
kufikwa	ku fik w a
kufinyaniseke	ku finyan is e ke
kufinyeleleke	ku finyelel ek e
kufinyelelwe	ku finyelel w e
kufundisa	ku fund is a
kufundwa	ku fund w a
kufundwe	ku fund w e
kufuneka	ku fun ek a
kufunwa	ku fun w a
kufunyaniseke	ku funy an is ek e
kugcine	ku gcin e
kugcizelelwa	ku gcizel el w a
kugcwele	ku gcwel e
kugezwa	ku gez w a
kugezwe	ku gez w e
kugitshelwa	ku gitshel w a
kugodloza	ku godloz a
kugula	ku gul a
kugule	ku gul e
kuguquza	ku guquz a
kuhamba	ku hamb a
kuhambe	ku hamb e
kuhlakazeka	ku hlakaz ek a
kuhlala	ku hlal a
kuhlalwa	ku hlal w a
kuhlangane	ku hlangan e
kuhlangene	ku hlangen e
kuhle	ku hle
kuhlekwe	ku hlek w e
kuhleliwe	ku hlel iw e, ku hleli w e
kuhomuzela	ku homuz el a
kukachith	kuka chith
kukachithimpi	kuka chith i m pi
kukadingiswayo	kuka ding is w a yo
kukamshini	kuka m shini
kukanozimanga	kuka no zi ma nga
kukanye	ku ka nye
kuke	kuke
kukhala	ku khal a
kukhale	ku khal e
kukhanye	ku khany e
kukhanyile	ku khany ile, ku khanyil e
kukhathazwa	ku khathaz w a
kukho	ku kho
kukhokhwa	ku khokh w a
kukhombisa	ku khomb is a
kukhona	ku kho na
kukhonjwa	ku khonj w a
kukhuluma	ku khulum a
kukhulunywa	ku khuluny w a
kukhuzwe	ku khuz w e
kukini	ku ki ni
kukithi	ku ki thi
kukubi	ku ku bi
kukuphi	ku ku phi
kukwakhe	ku kw akh e
kukwasislilly	ku kwa sis lilly
kulaba	ku la ba
kulabo	ku la b o
kulawomadwala	ku la w o ma dwala
kule	ku le
kulele	ku lel e
kuleli	ku le li
kulelidlangala	ku le li dlangala
kulelihlathi	ku le li hlathi
kuleliyalizwe	ku le li ya li zwe
kulelizwe	ku le li zwe
kulelo	ku le l o
kuleminyaka	ku le mi nyaka
kulendawo	ku le n dawo
kulendlu	ku le n dlu
kulengonyama	ku le n go nyama
kulenkinga	ku le n kinga
kulenkosikazi	ku le n kosi kazi
kulentaba	ku le n taba
kulesi	ku le si
kulesisihlahla	ku le si si hlahla
kulesisinyokotho	ku le si si nyokotho
kulesisizwe	ku le si si zwe
kuleso	ku le s o
kulesosilinganiso	ku le s o si ling an is o
kuleya	ku le ya
kuleyo	ku le y o
kuleyondawo	ku le y o n dawo
kulezonsuku	ku le z o n suku
kuligwala	ku li gwala
kulika	ku lik a
kulike	ku lik e
kulikolikoza	ku liko likoz a
kulindwe	ku lind w e
kuliqinisoo	ku li qiniso o
kuliwa	ku l iw a
kulo	ku lo
kulobubuxoki	ku lo bu bu xoki
kulobutshwala	ku lo bu tshwala
kuloluhambo	ku lo lu hamb o
kulombuzo	ku lo m buz o
kulomuzi	ku lo mu zi
kulona	ku lo na
kulonesi	ku lo nesi
kulonyaka	ku lo nyaka
kulowayamuzi	ku lo wa ya mu zi
kulukhuni	ku lukhuni
kulungile	ku lung ile
kuma	ku m a
kumagumbi	ku ma gumbi
kumame	ku mame
kumamkhize	ku ma m khize
kumamncube	ku ma m ncube
kumamshengu	ku ma m shengu
kumangalise	ku mangal is e
kumangwane	ku mangw ane
kumanje	ku manje
kumanjena	ku manje na
kumazulu	ku ma zulu
kumbe	ku mb e
kumbelwe	ku mb el w e
kumbokodwe	ku m bokodwe
kumbokokodwe	ku mbokokodwe
kumcasule	ku m casul e
kumduduze	ku m duduz e, ku mduduz e
kumehlela	ku m ehlel a
kumele	ku m el e
kumelwe	ku m el w e
kumenele	ku m enel e
kumenyezela	ku menyez el a
kumenyezelwe	ku menyez el w e
kumenza	ku m enz a
kumfana	ku m fana
kumfundisi	ku m fund is i
kumhlupheki	ku m hluph ek i
kumike	ku m i ke
kumkhaya	ku m khaya
kumlethele	ku m leth el e
kumngani	ku m ngani
kumntanayo	ku m ntana yo
kumnumzane	ku m numzane
kumnyama	ku mnyama
kumpontshi	ku mpontshi
kumsize	ku m siz e
kumsukile	ku m suk ile
kumsuse	ku m sus e
kumuntu	ku mu ntu
kunabanye	kun a ba nye
kunalokho	kuna lo kh o
kunalokhu	kuna lo khu
kunamaphoyisa	ku na ma phoyisa
kunamuhla	ku na mu hla
kunani	kuna ni
kunatana	ku natana
kunazo	kuna zo
kuncengwe	ku nceng w e
kuncokola	ku ncokol a
kundumezulu	ku n dum e zulu
kunempilo	ku n e m pil o
kunengozi	kun e n gozi
kunensila	ku n e n sila
kuneyakho	kun e ya kho
kunezinkungu	ku n e zin kungu
kunezinye	ku n e zi nye
kungababi	ku nga bab i
kungabantu	ku ng a ba ntu
kungabe	ku nga be
kungabhalwa	ku nga bhal w a
kungabi	ku nga b i
kungacelwanga	ku nga cel w anga
kungachithwa	ku nga chith w a
kungadala	ku nga dal a
kungadingeka	ku nga ding ek a
kungafa	ku nga f a
kungafika	ku nga fik a
kungafiwa	ku nga f iw a
kungafundwa	ku nga fund w a
kungafuneki	ku nga fun ek i
kungahle	ku nga hle
kungahwalala	ku nga hwalal a
kungakakhulunywa	ku nga ka khuluny w a
kungakangeni	ku nga ka ngen i
kungakenzeki	ku nga k enz ek i
kungakhohlakaleki	ku nga khohl akal ek i
kunganambitheki	ku nga nambith ek i
kungangcono	ku nga ngcono
kungangumhlolo	ku nga ng u m hlol o
kungani	ku ngani
kungapheli	ku nga phel i
kungaqikelela	ku nga qikel el a
kungase	ku nga se
kungasekho	ku nga se kho
kungashadwa	ku nga shad w a
kungashiwo	ku nga sh iw o
kungashona	ku nga shon a
kungathi	ku nga th i
kungawemali	ku nga w e mali
kungaze	ku nga ze
kungcola	ku ngcol a
kungcono	ku ngcono
kungebalwe	ku nge bal w e
kungebe	ku ng eb e
kungekho	ku ng ekho
kungekusize	ku nge ku siz e
kungemakhaza	ku nge makhaza
kungene	ku ngen e
kungenzeka	ku ng enz ek a
kungenzeki	ku ng enz ek i
kungeyezikhulu	ku ng e y e zi khulu
kungezwakali	ku ng ezw akal i
kungifikele	ku ngi fik el e
kungikhumbuza	ku ngi khumbuz a
kungimangalisa	ku ngi mangal is a
kungukudla	ku ng u ku dl a
kungutulube	ku ng u tulube
kunguyena	ku ngu ye na
kunina	ku nina
kuningi	ku ningi
kunini	ku nini
kuniphathe	ku ni phath e
kunjalo	ku njalo
kunjengokuba	ku njeng o kuba
kunjinga	ku njinga
kunkk	ku n kk
kunkosazana	ku n kos az ana
kunkosi	ku n kosi
kunodaba	kun o daba
kunogwaja	ku no gwaja
kunokulahlekelwa	kun o ku lahl ek el w a
kunokuphila	ku n o ku phil a
kunoluju	kun o lu ju
kunoma	ku noma
kunomlilo	kun o m lilo
kunomsokama	kun o m sokam a
kunomvemve	kun o mvemve
kunotom	kun o tom
kunqwaha	ku nqwah a
kuntshangase	ku ntshangase
kunuka	ku nuk a
kunyatheliswa	ku nyathel is w a
kunye	ku nye
kunzima	ku nzima
kuphakame	ku phakam e
kuphakathi	ku phakathi
kuphathwa	ku phath w a
kuphekiwe	ku phek iw e
kuphela	ku phel a
kuphele	ku phel e
kuphi	ku phi
kuphiliwe	ku phil iw e
kuphilwa	ku phil w a
kuphindelwa	ku phind el w a
kuphuma	ku phum a
kuphume	ku phum e
kuphunyuke	ku phunyuk e
kupotifari	ku potifari
kuqala	ku qal a
kuqale	ku qal e
kuqhamuka	ku qhamuk a
kuqhelile	ku qhel ile
kusa	ku s a
kusacingwa	ku sa cing w a
kusahlehlela	ku sa hlehl el a
kusale	ku sal e
kusame	ku sa m e
kusangithatha	ku sa ngi thath a
kusasa	ku sasa
kusashisa	ku sa shis a
kusasiza	ku sa siz a
kusathule	ku sa thul e
kuse	ku s e
kusedobs	ku se dobs
kusembawuleni	ku se m bawul eni
kusemqoka	ku se m qoka
kusenamanxeba	ku se n a ma nxeba
kusengathi	ku sengathi
kusenjalo	ku se njalo
kusentendeni	ku se n tend eni
kusethawuleni	ku se thawul eni
kusetshenzwe	ku setshenz w e
kuseyilo	ku se yi lo
kushaye	ku shay e
kusheshe	ku shesh e
kushiwe	ku sh iw e
kushiwo	ku sh iw o
kusho	ku sho
kushoniwe	ku shon iw e
kushuduzwe	ku shuduz w e
kushunqa	ku shunq a
kushwelezwe	ku shwelez w e
kusile	ku s ile
kusiniswa	ku sin is w a
kusizakala	ku siz akal a
kusize	ku siz e
kuso	ku so
kusobala	ku so bala
kusofa	ku sofa
kusolasoleke	ku sola sol ek e
kusontwa	ku sont w a
kustyles	ku styles
kusuka	ku suk a
kusuke	ku suk e
kusukela	ku suk el a
kususwa	ku sus w a
kususwe	ku sus w e
kuswelekile	ku swel ek ile
kuthandazwa	ku thandaz w a
kuthandazwe	ku thandaz w e
kuthe	ku th e
kuthi	ku thi
kuthinteke	ku thint ek e
kuthisha	ku thisha
kuthishomkhulu	ku thish o m khulu
kuthiwa	ku th iw a
kuthiwe	ku th iw e
kutholakale	ku thol akal e
kuthula	ku thul a
kuthule	ku thul e
kuthunywa	ku thuny w a
kuthushuka	ku thushuk a
kuthuthuke	ku thuthuk e
kuthwala	ku thwal a
kutshelwe	ku tshel w e
kutuswa	ku tus w a
kuvelaphi	ku vel a phi
kuvele	ku vele
kuvimbanise	ku vimban is e
kuvulande	ku vulande
kuvulandi	ku vulandi
kuvulwa	ku vul w a
kuvuthwayo	ku vuth w a yo
kuwena	ku we na
kuwo	ku wo
kuwukuhlakanipha	ku w u ku hlakaniph a
kuwumsebenzi	ku w u m sebenz i
kuxaka	ku xak a
kuxoxwa	ku xox w a
kuxoxwe	ku xox w e
kuxulu	ku xulu
kuxutshwe	ku xutsh w e
kuxuxuzele	ku xuxuz el e
kuya	ku y a
kuyabahlwa	ku ya ba hlw a
kuyabonakala	ku ya bon akal a
kuyabuswa	ku ya bus w a
kuyacaca	ku ya cac a
kuyachachaza	ku ya chachaz a
kuyachichima	ku ya chichim a
kuyadabukisa	ku ya dabuk is a
kuyadingeka	ku ya ding ek a
kuyadlala	ku ya dlal a
kuyafundiswa	ku ya fund is w a
kuyahanjwa	ku ya hanj w a
kuyahlanganwa	ku ya hlangan w a
kuyahlonishwa	ku ya hlonish w a
kuyahlushekwa	ku ya hlush ek w a
kuyaluzwa	ku ya lu zw a
kuyangethusa	ku ya ng ethus a
kuyaphithizela	ku ya phithiz el a
kuyaphithizelwa	ku ya phithiz el w a
kuyaposwa	ku ya pos w a
kuyaxoxwa	ku ya xox w a
kuyazalwa	ku ya zal w a
kuyazisho	ku ya zi sho
kuye	ku y e
kuyena	ku ye na
kuyenzeka	ku y enz ek a
kuyeqana	ku y eq an a
kuyezwakala	ku y ezw akal a
kuyilezo	ku yi le z o
kuyilowo	ku yi lo w o
kuyimfihlo	ku y i m fihl o
kuyimfundo	ku y i m fund o
kuyinsini	ku y i n sini
kuyinto	ku y i n to
kuyintshwaquntshwaqu	ku y i n tshwaqu n tshwaqu
kuyiphunyuka	ku yi phunyuk a
kuyise	ku yise
kuyisikhashana	ku y i si khash ana
kuyisonto	ku y i sonto
kuyiwe	ku yi we
kuyo	ku yo
kuyofezeka	ku yo fez ek a
kuyohatshulwa	ku yo hatshul w a
kuyokhulunywa	ku yo khuluny w a
kuyokusa	ku yo ku s a
kuyokwenzeka	ku yo kw enz ek a
kuyona	ku yo na
kuyongithola	ku yo ngi thol a
kuyosa	ku yo s a
kuyothi	ku yo thi
kuze	ku z e
kuzindendandenda	ku zi ndenda ndend a
kuzithenga	ku zi theng a
kuzo	ku zo
kuzobe	ku zo b e
kuzobola	ku zo bol a
kuzodinga	ku zo ding a
kuzodingaka	ku zo dingak a
kuzodingeka	ku zo ding ek a
kuzofanela	ku zo fanel a
kuzofuneka	ku zo fun ek a
kuzokoba	ku zo k ob a
kuzokwehlisa	ku zo kw ehl is a
kuzolunga	ku zo lung a
kuzondi	ku zondi
kuzonukwa	ku zo nuk w a
kuzophilwa	ku zo phil w a
kuzophuma	ku zo phum a
kuzwakale	ku zw akal e
kuzwakele	ku zw akel e
kuzwe	ku zw e
kwa	kwa
kwaba	kw a b a
kwabacacela	kw a ba cac el a
kwabakhanyela	kw a ba khany el a
kwabakwandwandwe	kw a ba kwa ndwandwe
kwabalingiswa	kw a ba ling is w a
kwabambana	kw a bamb an a
kwabangeka	kw a bang ek a
kwabangisana	kw a bang is an a
kwabantwana	kw a ba ntwana
kwabasengathi	kw a b a sengathi
kwabaxaka	kw a ba xak a
kwabe	kw a b e
kwabo	kwa bo
kwabona	kw a bon a
kwabonakala	kw a bon akal a
kwabuye	kw a buye
kwaconsa	kw a cons a
kwacweba	kw a cweb a
kwadalwa	kw a dal w a
kwadingeka	kw a ding ek a
kwadlamini	kwa dlamini
kwadliwa	kw a dl iw a
kwadlula	kw a dlul a
kwafa	kw a f a
kwafika	kw a fik a
kwafikwe	kw a fik w e
kwafumaniseka	kw a fuman is ek a
kwagcina	kw a gcin a
kwagiya	kw a giy a
kwagovu	kwa govu
kwahamba	kw a hamb a
kwahlala	kw a hlal a
kwahlaluka	kw a hlaluk a
kwahle	kw a hle
kwahlwa	kw a hlw a
kwake	kw a ke
kwakhala	kw a khal a
kwakhanya	kw a khany a
kwakhe	kwa khe
kwakhelenwe	kw a khel en w e
kwakho	kwa kho
kwakhohleka	kw a khohl ek a
kwakhona	kwa kho na
kwakhumalo	kwa khumalo
kwakubhalwe	kw a ku bhal w e
kwakubikezela	kw a ku bikezel a
kwakubo	kwa ku bo
kwakubuye	kw a ku buy e
kwakude	kwa ku de
kwakufakazelwa	kw a ku fakazel w a
kwakufunayo	kw a ku fun a yo
kwakufuneka	kw a ku fun ek a
kwakugcwaliseka	kw a ku gcwal is ek a
kwakuhlezi	kw a ku hlez i
kwakuke	kw a ku ke
kwakukhanya	kw a ku khany a
kwakukhohlakaleka	kw a ku khohl akal ek a
kwakukhona	kw a ku kho na
kwakukuningi	kw a ku ku ningi
kwakukwalillian	kw a ku kwa lillian
kwakulukhuni	kw a ku lukhuni
kwakumalini	kw a ku mali ni
kwakumnyama	kw a ku mnyama
kwakumuntu	kw a ku mu ntu
kwakunezincwadi	kw a ku n e zin cwadi
kwakungabalethela	kw a ku nga ba leth el a
kwakungakasi	kw a ku nga ka s i
kwakungalindelekile	kw a ku nga lind el ek ile
kwakungamkhathazi	kw a ku nga m khathaz i
kwakunganakiwe	kw a ku nga nak iw e
kwakungangabazisi	kw a ku nga nga b az is i
kwakungangenwangenwa	kw a ku nga ngenwa ngen w a
kwakungasamcindezele	kw a ku nga sa m cindez el e
kwakungasasizi	kw a ku nga sa siz i
kwakungasengane	kw a ku nga se n gane
kwakungasenjabulo	kw a ku nga se n jabul o
kwakungaze	kw a ku nga ze
kwakungeke	kw a ku ngeke
kwakungekho	kw a ku nge kho
kwakungenwa	kw a ku ngen w a
kwakunguchithimpi	kw a ku ng u chith i m pi
kwakungugamaliyeli	kw a ku ng u gamaliyeli
kwakungukuthi	kw a ku ng ukuthi
kwakungukwahlukaniselwa	kw a ku ngu kwa hlukan is el w a
kwakungumamthethwa	kw a ku ng u ma m theth w a
kwakungupagiyeli	kw a ku ng u pagiyel i, kw a ku ng u pagiyeli
kwakuningi	kw a ku ningi
kwakunjalo	kw a ku njalo
kwakunoju	kw a ku n o ju
kwakuqhamuka	kw a ku qhamuk a
kwakuqhwakele	kw a ku qhwak el e
kwakusahanjelwana	kw a ku sa hanj el w an a
kwakusebenza	kw a ku sebenz a
kwakusobala	kw a ku so bala
kwakuthi	kw a ku thi
kwakuthiwa	kw a ku th iw a
kwakuthunywa	kw a ku thuny w a
kwakutshama	kw a ku tsham a
kwakuye	kw a ku y e
kwakuyibona	kw a ku yi bon a
kwakuyigama	kw a ku y i gama
kwakuyindlwana	kw a ku y i n dlw ana
kwakuyiyo	kw a ku yi yo
kwakuyizincwadi	kw a ku y i zin cwadi
kwakuze	kw a ku z e
kwakuzomnika	kw a ku zo m nik a
kwakuzongisiza	kw a ku zo ngi siz a
kwakuzwakala	kw a ku zw akal a
kwakuzwakale	kw a ku zw akal e
kwakwenzela	kw a kw enz el a
kwala	kw al a
kwalababelungu	kwa la ba be lungu
kwalamanzi	kwa la ma nzi
kwale	kwa le
kwalelidwala	kwa le li dwala
kwalemali	kwa le mali
kwaleyompophoma	kwa le y o m pophoma
kwalindela	kw a lindel a
kwalithathelela	kw a li thathel el a
kwalo	kwa lo
kwalokho	kwa lo kh o
kwalokhu	kwa lo khu
kwalolo	kwa lo l o
kwalomuthi	kwa lo mu thi
kwalukhuni	kwa lukhuni
kwamabili	kw a ma bili
kwamadlangala	kwa ma dlangala
kwamalume	kwa malume
kwamamangalahlwa	kwa mamangalahlwa
kwamanela	kw a m anel a
kwamanxiwa	kwa ma nxiwa
kwamasaka	kw a ma saka
kwamazwe	kw a ma zwe
kwamdabukisa	kw a m dabuk is a
kwamethusa	kw a m ethus a
kwamhlongo	kwa m hlongo
kwami	kwa mi
kwammisa	kw a m mis a
kwamntungwa	kwa mn tungwa
kwamthethwa	kw a m theth w a
kwamxaka	kw a m xak a
kwamxina	kw a m xin a
kwanga	kw ang a
kwangalelo	kwa nga le l o
kwangathi	kw a nga thi
kwangena	kw a ngen a
kwangenza	kw a ng enz a
kwangicacela	kw a ngi cac el a
kwangiphatha	kw a ngi phath a
kwangithokozisa	kw a ngi thokoz is a
kwangixaka	kw a ngi xak a
kwangizuma	kw a ngi zum a
kwankala	kwa n kala
kwanongoma	kwa no ngoma
kwanxiwa	kwa nxiwa
kwaphambana	kw a phamb an a
kwaphela	kw a phel a
kwaphelela	kw a phel el a
kwaphindwa	kw a phind w a
kwaphuma	kw a phum a
kwaqala	kw a qal a
kwaqhamuka	kw a qhamuk a
kwasa	kw a s a
kwase	kw a se
kwasekufike	kw a se ku fik e
kwasekuhambe	kw a se ku hamb e
kwasekuzokhuluma	kw a se ku zo khulum a
kwasendulo	kwa se n dulo
kwasesikoleni	kw a se si kol eni, kwa se si kol eni
kwashabalala	kw a shabalal a
kwashaqeka	kw a shaq ek a
kwashayansumoni	kw a shay a n sumo ni
kwashintsha	kw a shintsh a
kwashiwo	kw a sh iw o
kwasho	kw a sho
kwasifuba	kwa si fuba
kwasikhathaza	kw a si khathaz a
kwasilatini	kwa si latini
kwaso	kwa so
kwathathwa	kw a thath w a
kwathi	kw a thi
kwathiwa	kw a th iw a
kwatholakala	kw a thol akal a
kwathula	kw a thul a
kwavele	kw a vel e
kwawa	k wa w a
kwawadi	kwa wadi
kwawakhanyela	kw a wa khany el a
kwayekwa	kw a yek w a
kwayena	kwa ye na
kwayikho	kw a yi kho
kwayiso	kwa yiso
kwayo	kw a yo, kwa yo
kwayogcinwa	kw a yo gcin w a
kwayona	kwa yo na
kwaze	kw a z e, kw a ze
kwazeke	kw az ek e
kwazi	kw azi
